hour_of_day,login_duration,failed_attempts,country_code,device_known,typing_speed_wpm,ip_reputation,logins_last_24h,time_since_last,label
11,1980.25,0,0,1,40.96,0,1,13.86,0
18,2776.49,0,0,1,46.39,0,2,14.58,0
11,2547.44,0,0,1,66.92,0,3,6.17,0
13,2556.88,0,0,1,47.25,0,3,16.7,0
10,1466.27,0,0,1,64.63,0,4,12.43,0
11,2004.05,0,0,1,40.78,0,1,11.83,0
9,2443.03,0,0,1,63.18,0,4,9.84,0
10,1799.87,0,0,1,48.81,0,4,19.5,0
16,1929.86,0,0,1,51.94,0,4,16.17,0
13,1435.87,0,0,1,54.95,0,2,20.43,0
11,1291.98,0,0,1,56.72,0,1,21.53,0
11,2063.86,1,0,1,48.91,0,3,3.57,0
11,1382.07,0,0,1,53.68,0,5,11.77,0
13,1464.44,0,0,1,59.25,0,4,18.94,0
13,2125.59,1,1,1,59.29,0,4,7.97,0
16,1210.2,0,0,1,57.25,0,1,13.28,0
16,1412.78,1,0,1,60.91,0,3,6.58,0
4,22.57,7,1,0,11.87,1,20,0.34,1
8,1708.91,0,0,1,71.83,0,5,18.11,0
20,1725.63,0,0,1,55.78,0,5,11.14,0
12,1931.12,1,0,1,43.52,0,4,6.7,0
12,2137.54,1,0,1,54.23,0,4,5.38,0
16,2198.39,0,0,1,49.45,0,5,18.85,0
13,2066.65,0,0,1,42.71,0,4,8.87,0
2,44.98,4,1,0,20.89,1,29,0.46,1
11,1616.95,0,0,1,39.55,0,5,15.98,0
8,1402.23,0,0,1,52.37,0,3,13.5,0
10,1688.98,1,0,1,62.21,0,4,13.8,0
8,2519.39,1,0,1,64.96,0,1,8.42,0
11,1392.12,0,0,1,57.16,0,1,23.79,0
1,210.39,7,1,0,7.13,1,49,0.01,1
11,2047.61,0,0,1,49.19,0,2,16.47,0
19,1546.9,1,0,1,51.14,0,2,0.76,0
22,271.81,3,1,0,151.08,1,47,0.28,1
3,224.42,3,1,0,110.51,0,44,0.48,1
11,1618.44,0,0,1,55.38,0,2,23.96,0
10,1292.0,0,0,1,50.23,0,1,9.84,0
14,1959.26,0,1,0,52.67,0,5,22.8,0
2,264.08,5,1,0,10.84,1,13,0.34,1
11,1230.42,0,0,1,69.3,0,3,6.58,0
15,948.51,0,0,1,55.14,0,1,6.21,0
11,1512.36,0,0,1,45.32,0,4,12.89,0
12,1238.07,0,0,1,51.25,0,3,15.97,0
14,2387.91,0,0,0,63.93,0,5,3.17,0
10,2340.43,0,0,1,55.44,0,1,19.69,0
13,2492.47,1,0,1,52.97,0,4,6.98,0
13,1713.14,0,0,1,60.89,0,4,9.17,0
11,1741.26,1,0,1,69.38,0,4,9.45,0
18,1186.92,0,0,0,49.88,0,4,5.56,0
19,1961.69,0,0,0,54.55,0,3,5.79,0
13,1624.91,0,0,1,21.65,0,3,2.61,0
11,1446.4,0,0,1,63.98,0,5,25.39,0
18,1081.74,0,0,1,64.13,0,1,9.51,0
16,2076.36,0,0,1,59.72,0,4,18.04,0
15,1545.51,0,0,1,78.12,0,4,19.0,0
16,1530.03,0,0,1,59.36,0,1,11.91,0
15,1966.58,0,0,1,52.43,0,2,7.2,0
13,1343.6,0,0,1,64.47,0,4,22.47,0
16,2755.35,0,0,1,72.47,0,2,9.14,0
14,1822.35,0,0,1,67.07,0,1,4.72,0
23,77.86,9,1,0,132.01,1,30,0.57,1
4,142.43,3,1,0,17.33,1,30,0.81,1
13,1604.92,0,0,1,58.64,0,4,0.5,0
12,1667.69,1,0,1,50.69,0,5,11.01,0
11,2008.86,1,0,1,40.65,0,2,6.82,0
8,1631.99,0,0,0,56.56,0,4,10.39,0
10,1997.46,2,0,1,62.58,0,2,10.92,0
12,1877.62,0,0,1,59.89,0,2,8.77,0
11,1513.13,0,0,1,70.68,0,2,12.9,0
13,2235.51,0,0,1,58.78,0,3,14.16,0
13,2006.46,0,0,1,49.38,0,3,11.33,0
16,2246.67,0,1,1,44.61,0,4,14.2,0
11,1526.55,0,0,1,59.81,0,3,7.6,0
18,1945.25,0,0,1,55.17,0,5,15.75,0
12,1402.97,1,0,1,64.21,0,5,9.84,0
10,1824.03,1,0,1,63.62,0,1,10.18,0
10,2341.12,0,0,1,70.38,0,5,12.82,0
9,1432.75,0,0,1,58.95,0,4,17.9,0
12,1463.27,0,0,1,49.62,0,5,14.65,0
16,1264.21,0,0,1,63.14,0,4,14.76,0
9,797.37,0,0,1,68.82,0,4,9.97,0
14,1679.13,0,0,1,57.83,0,5,16.72,0
11,2674.04,0,0,1,57.86,0,2,20.83,0
13,1698.89,0,0,1,66.2,0,3,13.21,0
20,1263.97,0,0,1,56.76,0,5,6.74,0
8,1661.43,0,0,1,51.21,0,5,5.18,0
15,1833.79,0,0,1,39.27,0,4,9.89,0
13,1324.89,0,0,1,60.66,0,4,27.16,0
14,1757.67,0,0,1,63.47,0,3,19.35,0
10,1427.05,0,0,1,46.84,0,1,18.71,0
15,1166.56,0,0,1,57.5,0,3,13.56,0
10,1851.67,0,0,1,58.9,0,4,13.82,0
4,88.98,4,1,0,93.97,1,11,0.65,1
17,1448.61,0,0,1,43.12,0,2,22.64,0
10,2007.2,1,0,1,63.17,0,1,0.95,0
10,1329.53,0,0,1,42.91,0,4,11.28,0
4,35.92,3,1,0,122.32,1,21,0.81,1
12,1791.96,0,0,1,58.35,0,3,18.38,0
11,1321.38,0,0,1,58.46,0,5,8.6,0
9,1208.58,0,0,1,62.03,0,4,17.98,0
18,1887.46,0,0,1,53.02,0,4,13.5,0
14,1101.11,0,0,1,47.01,0,3,12.65,0
3,133.53,6,1,0,14.61,1,44,0.59,1
15,1604.45,0,0,0,47.08,0,4,12.95,0
9,2160.69,1,0,1,43.18,0,4,9.27,0
11,1827.23,0,0,1,40.2,0,5,12.09,0
14,1837.85,0,0,1,65.28,0,5,23.54,0
18,2224.5,0,0,1,52.79,0,3,7.34,0
9,2221.56,0,0,1,48.57,0,3,7.91,0
9,2096.73,0,0,1,53.85,0,5,26.72,0
16,912.09,0,0,1,43.45,0,5,7.93,0
12,2034.9,0,0,1,56.39,0,3,11.9,0
18,1997.19,0,0,1,66.63,0,3,5.01,0
13,1784.5,2,0,1,56.52,0,5,9.73,0
16,1864.68,0,0,0,54.18,0,4,8.47,0
0,229.62,3,0,0,121.31,1,45,0.01,1
9,1622.69,0,0,1,65.22,0,3,15.11,0
22,218.1,8,1,1,115.17,1,16,0.93,1
10,2056.92,2,0,1,56.39,0,4,17.2,0
19,1969.56,0,0,1,44.17,0,1,7.75,0
19,1664.35,0,0,1,66.09,0,3,21.05,0
11,1707.74,0,0,1,52.22,0,1,14.99,0
15,838.53,0,0,1,74.98,0,4,6.35,0
10,1583.6,1,0,1,42.28,0,5,0.73,0
9,1527.45,2,0,1,54.09,0,5,13.23,0
4,304.65,7,1,0,12.99,1,13,0.22,1
22,149.84,4,1,0,146.52,0,38,0.29,1
8,1208.49,2,0,1,66.2,0,4,11.34,0
11,1215.8,0,0,1,52.96,0,4,2.75,0
11,1833.19,1,0,1,56.71,0,1,13.78,0
20,1713.76,0,0,1,67.8,0,2,2.83,0
15,1980.49,0,1,0,39.82,0,1,12.85,0
12,1226.74,0,0,1,52.77,0,2,9.4,0
16,2472.6,0,0,1,57.3,0,4,20.83,0
13,1607.74,0,0,1,73.91,0,1,20.71,0
4,173.19,3,1,0,11.46,1,41,0.44,1
12,1742.04,0,0,1,61.97,0,4,11.66,0
11,1490.62,0,0,1,49.61,0,5,12.64,0
10,1487.92,1,0,1,69.38,0,3,9.52,0
13,1182.62,1,0,1,46.07,0,3,14.04,0
9,2219.36,0,0,1,58.46,0,2,21.54,0
14,2364.81,0,0,1,39.59,0,2,22.31,0
10,1284.21,0,0,0,46.86,0,2,12.23,0
10,2621.19,0,0,1,69.81,0,3,18.67,0
15,628.22,0,0,1,59.18,0,1,2.09,0
16,2126.92,0,0,1,49.14,0,5,19.16,0
22,201.72,3,1,0,139.87,0,38,0.05,1
12,2063.62,0,0,0,67.99,0,3,10.97,0
9,2367.41,0,0,1,59.11,0,4,10.75,0
4,75.78,8,0,0,110.85,1,10,0.79,1
12,2581.24,0,0,1,63.82,0,3,15.29,0
12,1349.58,0,0,1,41.62,0,4,16.47,0
11,1872.5,1,0,1,59.93,0,2,9.5,0
13,1532.23,0,0,1,53.63,0,2,3.59,0
14,1410.65,1,0,1,52.26,0,2,0.82,0
11,1971.13,0,0,1,69.12,0,1,14.33,0
13,1781.9,0,0,1,45.31,0,1,8.24,0
12,2008.9,1,0,1,43.22,0,4,4.59,0
13,1940.59,0,0,1,64.87,0,5,2.83,0
14,1488.39,0,0,1,68.17,0,3,11.21,0
13,1772.19,0,0,1,60.15,0,1,5.87,0
11,2058.24,0,0,1,44.74,0,4,8.86,0
18,2310.79,1,0,1,51.91,0,3,16.65,0
22,299.51,5,1,0,108.29,0,25,0.4,1
16,1810.48,2,0,1,48.65,0,4,15.9,0
11,2338.44,0,0,1,48.46,0,4,15.17,0
15,1782.16,0,0,1,55.15,0,4,0.5,0
18,2528.22,0,0,1,76.16,0,4,20.27,0
12,1499.03,0,0,1,42.65,0,5,22.3,0
17,1443.77,0,0,1,70.86,0,1,15.81,0
11,1091.81,0,0,1,49.74,0,1,26.46,0
12,2076.65,0,0,1,52.38,0,3,6.5,0
9,2357.27,0,0,1,41.91,0,4,6.45,0
22,142.36,3,0,0,111.04,1,17,0.56,1
11,1640.98,0,0,1,52.69,0,1,10.76,0
11,1834.44,0,0,1,48.95,0,2,6.9,0
4,316.07,3,1,0,12.23,1,25,0.77,1
18,1685.28,1,0,1,62.2,0,4,27.56,0
17,1349.0,0,0,1,49.26,0,5,5.76,0
3,122.7,5,1,0,17.7,1,15,0.98,1
9,2276.44,0,0,1,61.87,0,3,11.22,0
10,1226.51,0,0,1,48.81,0,5,11.18,0
5,315.45,5,1,0,14.56,1,34,0.47,1
14,2272.05,0,0,1,42.96,0,2,12.68,0
12,2237.67,0,0,1,59.29,0,5,17.03,0
20,1578.73,0,0,1,60.95,0,4,13.22,0
11,1708.25,1,0,1,48.31,0,4,17.71,0
8,1768.37,1,0,1,57.26,0,2,10.29,0
16,2316.26,0,0,1,44.57,0,5,10.25,0
10,1253.99,0,0,1,49.98,0,3,17.32,0
14,2002.24,0,0,1,33.53,0,2,4.92,0
10,1757.47,0,0,1,46.54,0,3,6.03,0
12,1795.08,0,0,1,52.11,0,1,8.32,0
15,1994.92,0,0,1,34.56,0,3,5.4,0
23,304.34,4,0,0,14.12,1,13,0.77,1
16,1495.03,0,0,1,51.73,0,1,17.04,0
0,191.42,7,1,0,15.84,1,47,0.54,1
13,1718.62,0,0,1,48.57,0,4,18.04,0
4,194.3,4,1,0,28.79,1,29,0.65,1
8,1371.92,0,0,1,62.5,0,4,16.19,0
16,1102.82,0,0,0,30.76,0,3,11.54,0
14,1766.91,1,0,1,66.5,0,2,15.93,0
16,2454.03,1,0,1,48.01,0,1,24.57,0
11,2271.98,0,0,1,53.51,0,5,19.82,0
12,1377.74,0,0,1,60.21,0,2,7.8,0
10,2171.3,0,0,1,46.77,0,4,17.04,0
16,1239.05,2,0,1,47.39,0,1,19.09,0
12,1764.58,0,0,1,50.06,0,5,2.09,0
4,32.45,5,0,0,19.62,1,32,0.9,1
10,1819.13,0,0,1,47.9,0,4,13.86,0
16,2092.78,0,0,1,53.25,0,3,10.16,0
17,1405.78,0,0,1,56.94,0,1,15.61,0
4,385.28,5,0,0,15.7,1,32,0.66,1
13,1919.26,0,0,1,65.55,0,4,16.03,0
15,2075.17,0,0,1,61.94,0,5,20.27,0
9,1924.95,0,0,1,52.64,0,5,14.12,0
14,2499.25,0,0,1,46.96,0,4,10.94,0
10,2272.76,0,0,1,57.56,0,1,10.42,0
18,1707.77,0,0,1,56.49,0,1,11.01,0
18,2182.11,0,0,1,46.84,0,3,5.69,0
23,141.53,3,1,0,116.15,0,30,1.18,1
2,89.61,7,1,0,5.4,1,22,0.55,1
9,1804.89,0,0,1,70.19,0,3,9.54,0
23,214.13,5,1,0,119.2,1,13,0.54,1
13,1806.07,2,0,1,21.64,0,5,11.18,0
18,2084.93,2,0,1,46.69,0,1,17.22,0
12,1767.57,2,0,1,47.23,0,2,7.96,0
11,1429.64,0,0,1,50.67,0,3,24.47,0
17,2301.14,0,0,1,66.61,0,3,13.2,0
9,1648.8,1,0,1,53.58,0,2,11.9,0
12,2334.79,2,0,1,54.63,0,4,0.5,0
23,111.8,5,1,0,109.46,1,19,0.44,1
11,2136.71,0,1,1,57.09,0,3,14.15,0
9,1740.41,0,0,1,56.46,0,5,12.71,0
9,2085.9,0,0,1,41.25,0,5,12.99,0
14,1629.28,1,0,1,55.68,0,2,17.29,0
9,1841.06,0,0,1,57.25,0,2,10.31,0
10,1224.51,0,0,1,47.53,0,2,23.21,0
12,1410.89,0,0,1,51.72,0,3,6.72,0
14,1928.67,0,0,1,55.47,0,2,18.98,0
9,1654.75,0,0,1,58.62,0,4,2.69,0
11,1742.05,2,0,1,45.03,0,5,9.61,0
15,1952.57,0,0,1,57.53,0,2,14.79,0
14,2043.14,2,0,1,66.65,0,5,5.63,0
3,95.04,8,1,0,118.3,0,41,0.64,1
16,1831.84,1,0,1,51.33,0,5,8.52,0
1,294.59,5,1,0,16.41,1,48,0.05,1
16,2214.87,0,0,1,35.61,0,1,2.27,0
14,1594.99,0,0,1,52.62,0,5,19.21,0
14,1600.82,0,0,0,44.42,0,4,15.95,0
17,1759.49,0,0,1,61.87,0,2,11.92,0
11,1765.32,0,0,1,57.43,0,2,17.92,0
16,2341.23,0,0,1,45.73,0,1,9.81,0
12,2309.03,1,0,1,49.66,0,4,6.6,0
9,991.28,0,0,1,54.18,0,1,11.47,0
12,1799.05,1,0,1,62.95,0,4,7.95,0
14,1706.51,1,0,1,34.98,0,2,6.43,0
17,1767.1,1,0,1,60.52,0,2,12.0,0
17,1839.73,0,0,1,62.69,0,4,17.6,0
17,2196.07,0,0,1,43.01,0,4,9.97,0
13,1860.56,0,0,1,67.28,0,3,5.39,0
10,1886.65,0,0,1,66.91,0,3,11.45,0
15,1635.27,0,0,1,43.68,0,2,13.05,0
10,2029.63,0,0,1,60.36,0,5,7.18,0
11,1827.75,1,0,1,64.44,0,3,7.58,0
12,1747.63,0,0,1,68.6,0,3,13.32,0
14,2311.55,2,0,1,49.72,0,4,12.75,0
17,2183.2,0,0,1,40.02,0,4,4.87,0
5,208.35,4,1,1,130.59,1,44,0.62,1
7,1544.57,2,0,1,43.61,0,1,8.25,0
14,2119.14,1,0,1,63.54,0,4,14.31,0
13,1433.47,0,0,1,62.32,1,1,15.04,0
10,1765.57,0,0,0,57.74,0,1,11.02,0
0,148.32,4,0,0,122.53,1,45,0.66,1
1,186.06,7,1,0,11.9,1,46,0.01,1
12,2667.97,0,0,1,61.93,0,4,16.98,0
14,1375.76,0,0,0,56.42,0,3,3.14,0
9,1808.44,1,0,1,56.22,0,1,18.15,0
12,2757.74,0,0,1,62.75,0,2,23.8,0
18,1556.87,0,0,1,54.28,0,4,18.16,0
10,1944.66,0,0,1,66.35,0,3,0.5,0
14,2272.76,0,0,1,59.9,0,3,12.8,0
17,1882.54,0,0,1,59.36,0,4,13.53,0
9,1474.05,0,0,1,43.17,0,5,4.13,0
12,1805.38,0,0,1,37.51,0,5,4.82,0
9,1760.68,0,0,1,59.0,0,4,17.06,0
11,1707.48,0,0,1,72.1,0,2,8.38,0
12,1864.52,1,0,1,54.3,0,4,15.97,0
7,2154.48,0,0,1,56.4,0,2,3.47,0
9,2356.39,0,0,1,63.99,0,2,18.23,0
14,1538.44,0,0,1,43.26,0,2,13.48,0
7,1628.41,0,0,1,48.81,0,5,13.03,0
14,2525.36,0,0,1,70.49,0,2,7.85,0
10,2902.09,0,0,1,63.37,0,1,12.04,0
2,223.84,10,1,1,123.41,1,21,0.64,1
8,2501.28,2,0,0,65.01,0,2,12.56,0
13,1983.6,0,0,1,53.94,0,1,15.29,0
10,1935.74,0,0,1,47.71,0,2,7.73,0
14,1704.71,0,0,1,52.4,0,5,14.53,0
18,1455.7,0,0,1,52.11,0,3,13.85,0
11,2165.39,0,0,0,69.22,0,1,7.17,0
11,1599.44,0,0,1,57.07,0,2,6.28,0
20,2606.11,0,0,1,41.65,0,1,7.59,0
12,1609.38,2,0,1,35.38,0,1,11.97,0
12,1571.3,0,0,1,65.06,0,1,0.5,0
14,1439.45,0,0,1,34.19,0,4,0.64,0
12,1871.41,0,0,1,60.83,0,1,9.13,0
13,2342.63,1,0,1,44.41,0,1,10.59,0
10,2120.85,0,0,1,47.58,0,1,24.65,0
19,1778.76,1,0,1,59.27,0,1,4.62,0
21,1907.67,0,0,1,59.66,0,3,17.31,0
8,1475.6,0,0,1,66.29,0,2,18.9,0
15,1324.41,0,0,1,52.12,0,4,12.66,0
12,1428.35,0,0,1,53.31,0,1,17.31,0
8,1644.92,0,0,1,58.45,0,2,19.16,0
9,1708.8,0,0,1,48.38,0,5,7.64,0
11,1657.61,0,0,1,56.76,0,4,17.79,0
15,2111.74,0,0,1,57.45,0,5,13.81,0
15,1722.68,0,1,1,35.01,0,1,9.71,0
23,75.59,8,1,0,10.53,1,10,0.43,1
17,1743.3,0,0,1,60.03,0,2,13.27,0
14,1762.82,0,0,1,61.29,0,4,7.88,0
17,2211.77,1,0,1,62.91,0,3,9.48,0
10,2925.86,0,0,1,44.12,0,2,15.95,0
10,1351.39,0,0,1,54.14,0,3,5.42,0
9,2373.72,0,0,1,48.54,0,1,6.22,0
13,1689.95,0,0,1,64.53,0,4,12.51,0
12,1984.33,0,0,1,53.95,0,1,10.84,0
9,2180.01,0,0,1,52.12,0,1,9.48,0
9,1547.44,0,0,1,64.97,0,1,9.69,0
10,2088.59,0,0,1,65.39,0,2,14.81,0
10,1573.98,1,0,1,54.25,0,2,8.15,0
13,1637.25,0,0,1,52.78,0,4,7.89,0
14,1600.97,0,0,1,54.72,0,2,19.74,0
9,2191.13,0,0,1,66.14,0,2,3.09,0
13,1808.17,0,0,1,51.68,0,5,5.18,0
11,2468.54,0,0,1,42.99,0,4,14.94,0
8,1378.47,0,0,1,52.24,0,2,11.3,0
14,2246.73,0,0,1,68.68,0,4,13.19,0
9,2092.83,0,0,1,44.79,0,2,8.11,0
11,1546.85,0,0,1,66.12,0,5,24.32,0
12,1726.68,1,0,1,55.06,0,2,12.2,0
14,2380.37,1,0,1,48.97,0,2,14.58,0
10,1914.32,0,0,1,53.14,0,3,6.37,0
16,2116.74,0,0,1,50.7,0,2,17.25,0
1,186.4,3,0,0,139.33,0,28,0.71,1
11,1271.8,0,0,1,44.31,0,1,18.57,0
14,1928.31,2,0,1,43.58,0,1,11.41,0
13,752.75,0,0,1,70.79,0,1,15.73,0
11,1603.22,0,0,1,59.1,0,3,14.52,0
15,1562.48,0,0,1,62.11,0,1,9.03,0
18,1775.56,0,0,1,46.19,0,4,1.16,0
12,1399.47,0,0,1,46.4,0,2,12.5,0
14,2208.01,1,0,1,46.98,0,2,16.77,0
13,1131.53,0,0,0,41.02,0,1,9.59,0
14,1119.24,1,0,1,60.08,0,3,16.7,0
15,1806.41,0,0,1,44.14,0,1,7.7,0
9,2349.57,0,0,1,60.98,0,1,2.67,0
13,2522.23,0,0,1,41.95,0,4,7.7,0
12,2135.74,0,1,1,64.85,0,4,11.88,0
14,2072.7,0,0,1,60.73,1,4,6.76,0
19,1593.64,0,0,1,64.96,0,3,10.76,0
